,data,godzina,dom,wyjazd,wynik
175,1992-04-04,,Motor Lublin,Stal Stalowa Wola,0:1
176,1992-04-04,,GKS Katowice,Widzew Łódź,1:0
177,1992-04-04,,FKS Stal Mielec,Wisła Kraków,3:0
178,1992-04-04,,Igloopol Debica,Zagłębie Lubin,0:0
179,1992-04-04,,Górnik Zabrze,Lech Poznań,2:2
180,1992-04-11,,Górnik Zabrze,Śląsk Wrocław,3:0
181,1992-04-11,,Lech Poznań,Igloopol Debica,3:0
182,1992-04-11,,Zagłębie Lubin,FKS Stal Mielec,0:0
183,1992-04-11,,Wisła Kraków,GKS Katowice,2:4
184,1992-04-11,,Widzew Łódź,Motor Lublin,3:0
185,1992-04-11,,Stal Stalowa Wola,ŁKS Łódź,0:1
186,1992-04-11,,Ruch Chorzów,Hutnik Kraków,1:1
187,1992-04-11,,Zawisza Bydgoszcz,Olimpia Poznań,3:1
188,1992-04-11,,Zagłębie Sosnowiec,Legia Warszawa,1:1
189,1992-04-18,,Śląsk Wrocław,Zagłębie Sosnowiec,1:0
190,1992-04-18,,Legia Warszawa,Zawisza Bydgoszcz,2:0
191,1992-04-18,,Olimpia Poznań,Ruch Chorzów,0:0
192,1992-04-18,,Hutnik Kraków,Stal Stalowa Wola,1:1
193,1992-04-18,,ŁKS Łódź,Widzew Łódź,2:0
194,1992-04-18,,Motor Lublin,Wisła Kraków,3:0
195,1992-04-18,,GKS Katowice,Zagłębie Lubin,0:1
196,1992-04-18,,FKS Stal Mielec,Lech Poznań,0:1
197,1992-04-18,,Igloopol Debica,Górnik Zabrze,0:0
198,1992-04-25,,Igloopol Debica,Śląsk Wrocław,0:3
199,1992-04-25,,Górnik Zabrze,FKS Stal Mielec,1:1
200,1992-04-25,,Lech Poznań,GKS Katowice,1:0
201,1992-04-25,,Zagłębie Lubin,Motor Lublin,2:0
202,1992-04-25,,Wisła Kraków,ŁKS Łódź,0:1
203,1992-04-25,,Widzew Łódź,Hutnik Kraków,3:3
204,1992-04-25,,Stal Stalowa Wola,Olimpia Poznań,0:0
205,1992-04-25,,Ruch Chorzów,Legia Warszawa,0:0
206,1992-04-25,,Zawisza Bydgoszcz,Zagłębie Sosnowiec,2:0
207,1992-04-29,,Śląsk Wrocław,Zawisza Bydgoszcz,3:1
208,1992-04-29,,Zagłębie Sosnowiec,Ruch Chorzów,0:2
209,1992-04-29,,Legia Warszawa,Stal Stalowa Wola,1:2
210,1992-04-29,,Olimpia Poznań,Widzew Łódź,0:0
211,1992-04-29,,Hutnik Kraków,Wisła Kraków,0:1
212,1992-04-29,,ŁKS Łódź,Zagłębie Lubin,0:1
213,1992-04-29,,Motor Lublin,Lech Poznań,1:1
214,1992-04-29,,GKS Katowice,Górnik Zabrze,1:1
215,1992-04-29,,FKS Stal Mielec,Igloopol Debica,3:0
216,1992-05-02,,FKS Stal Mielec,Śląsk Wrocław,0:0
217,1992-05-02,,Igloopol Debica,GKS Katowice,0:3
218,1992-05-02,,Górnik Zabrze,Motor Lublin,0:0
219,1992-05-02,,Lech Poznań,ŁKS Łódź,4:0
220,1992-05-02,,Zagłębie Lubin,Hutnik Kraków,1:0
221,1992-05-02,,Wisła Kraków,Olimpia Poznań,1:1
222,1992-05-02,,Widzew Łódź,Legia Warszawa,3:0
223,1992-05-02,,Stal Stalowa Wola,Zagłębie Sosnowiec,0:1
224,1992-05-02,,Ruch Chorzów,Zawisza Bydgoszcz,1:0
225,1992-05-09,,Śląsk Wrocław,Ruch Chorzów,3:0
226,1992-05-09,,Zawisza Bydgoszcz,Stal Stalowa Wola,2:1
227,1992-05-09,,Zagłębie Sosnowiec,Widzew Łódź,0:1
228,1992-05-09,,Legia Warszawa,Wisła Kraków,1:1
229,1992-05-09,,Olimpia Poznań,Zagłębie Lubin,2:1
230,1992-05-09,,Hutnik Kraków,Lech Poznań,2:2
231,1992-05-09,,ŁKS Łódź,Górnik Zabrze,0:0
232,1992-05-09,,Motor Lublin,Igloopol Debica,1:1
233,1992-05-09,,GKS Katowice,FKS Stal Mielec,0:0
234,1992-05-16,,GKS Katowice,Śląsk Wrocław,1:1
235,1992-05-16,,FKS Stal Mielec,Motor Lublin,2:1
236,1992-05-16,,Igloopol Debica,ŁKS Łódź,1:2
237,1992-05-16,,Górnik Zabrze,Hutnik Kraków,2:0
238,1992-05-16,,Lech Poznań,Olimpia Poznań,1:1
239,1992-05-16,,Zagłębie Lubin,Legia Warszawa,1:0
240,1992-05-16,,Wisła Kraków,Zagłębie Sosnowiec,2:0
241,1992-05-16,,Widzew Łódź,Zawisza Bydgoszcz,0:0
242,1992-05-16,,Stal Stalowa Wola,Ruch Chorzów,0:0
243,1992-05-20,,Śląsk Wrocław,Stal Stalowa Wola,2:0
244,1992-05-20,,Ruch Chorzów,Widzew Łódź,1:0
245,1992-05-20,,Zawisza Bydgoszcz,Wisła Kraków,1:1
246,1992-05-20,,Zagłębie Sosnowiec,Zagłębie Lubin,1:1
247,1992-05-20,,Legia Warszawa,Lech Poznań,2:0
248,1992-05-20,,Olimpia Poznań,Górnik Zabrze,1:2
249,1992-05-20,,Hutnik Kraków,Igloopol Debica,6:0
250,1992-05-20,,ŁKS Łódź,FKS Stal Mielec,0:0
251,1992-05-20,,Motor Lublin,GKS Katowice,0:2
252,1992-05-23,,Motor Lublin,Śląsk Wrocław,3:0
253,1992-05-23,,GKS Katowice,ŁKS Łódź,2:1
254,1992-05-23,,FKS Stal Mielec,Hutnik Kraków,1:1
255,1992-05-23,,Igloopol Debica,Olimpia Poznań,1:2
256,1992-05-23,,Górnik Zabrze,Legia Warszawa,1:0
257,1992-05-23,,Lech Poznań,Zagłębie Sosnowiec,5:1
258,1992-05-23,,Zagłębie Lubin,Zawisza Bydgoszcz,1:1
259,1992-05-23,,Wisła Kraków,Ruch Chorzów,3:0
260,1992-05-23,,Widzew Łódź,Stal Stalowa Wola,1:0
261,1992-05-30,,Śląsk Wrocław,Widzew Łódź,1:3
262,1992-05-30,,Stal Stalowa Wola,Wisła Kraków,0:2
263,1992-05-30,,Ruch Chorzów,Zagłębie Lubin,1:2
264,1992-05-30,,Zawisza Bydgoszcz,Lech Poznań,2:2
265,1992-05-30,,Zagłębie Sosnowiec,Górnik Zabrze,0:2
266,1992-05-30,,Legia Warszawa,Igloopol Debica,5:2
